aX,aY,aZ,gX,gY,gZ
0.120,-0.146,-0.146,-0.087,0.017,0.039
0.127,-0.096,-0.096,-0.092,0.018,0.039
0.134,-0.061,-0.061,-0.096,0.022,0.043
0.127,-0.112,-0.112,-0.085,0.020,0.045
0.129,-0.152,-0.152,-0.077,0.011,0.040
0.164,-0.111,-0.111,-0.062,-0.005,0.047
0.194,-0.118,-0.118,-0.062,-0.010,0.065
0.180,-0.135,-0.135,-0.064,-0.034,0.053
0.200,-0.071,-0.071,-0.057,-0.051,0.050
0.135,-0.041,-0.041,-0.036,-0.028,0.049
0.184,-0.078,-0.078,-0.032,0.000,0.038
0.105,-0.137,-0.137,-0.036,0.031,0.027
0.141,-0.149,-0.149,-0.042,0.027,0.013
0.222,-0.052,-0.052,-0.040,0.005,0.002
0.157,0.109,0.109,-0.042,-0.017,0.005
0.154,0.135,0.135,-0.042,-0.017,0.017
0.216,0.146,0.146,-0.040,-0.011,0.024
0.146,0.054,0.054,-0.042,-0.003,0.034
0.134,0.048,0.048,-0.042,0.005,0.036
0.160,0.052,0.052,-0.051,0.019,0.040
0.133,0.018,0.018,-0.061,0.027,0.043
0.102,0.036,0.036,-0.073,0.034,0.044
0.086,0.045,0.045,-0.078,0.035,0.043
0.094,0.035,0.035,-0.076,0.039,0.044
0.096,0.034,0.034,-0.073,0.037,0.040
0.094,0.024,0.024,-0.078,0.033,0.037
0.121,0.038,0.038,-0.085,0.027,0.037
0.118,0.027,0.027,-0.088,0.015,0.039
0.139,0.041,0.041,-0.084,0.009,0.043
0.146,0.035,0.035,-0.079,0.002,0.043
0.115,0.002,0.002,-0.076,0.000,0.042
0.094,-0.017,-0.017,-0.073,-0.007,0.038
0.106,-0.045,-0.045,-0.076,-0.011,0.034
0.113,-0.034,-0.034,-0.074,-0.017,0.027
0.130,0.037,0.037,-0.068,-0.024,0.020
0.118,0.097,0.097,-0.064,-0.028,0.018
0.120,0.156,0.156,-0.062,-0.031,0.020
0.165,0.186,0.186,-0.061,-0.039,0.022
0.157,0.173,0.173,-0.059,-0.045,0.028
0.107,0.141,0.141,-0.055,-0.048,0.033
0.100,0.119,0.119,-0.047,-0.047,0.035
0.060,0.140,0.140,-0.038,-0.043,0.036
0.134,0.185,0.185,-0.026,-0.033,0.039

-0.504,0.133,0.133,0.255,0.219,0.274
-0.649,-0.039,-0.039,0.276,0.297,0.259
-0.715,0.074,0.074,0.280,0.306,0.255
-0.551,0.195,0.195,0.267,0.335,0.275
-0.751,0.407,0.407,0.262,0.433,0.326
-0.839,-0.014,-0.014,0.258,0.514,0.375
-0.527,-0.807,-0.807,0.295,0.573,0.360
-0.727,-0.842,-0.842,0.338,0.548,0.327
