aX,aY,aZ,gX,gY,gZ
-6.718,0.137,0.137,0.190,-0.530,0.968
-6.790,0.252,0.252,0.116,-0.405,0.996
-6.875,0.449,0.449,0.083,-0.272,1.101
-7.221,0.336,0.336,0.060,-0.126,1.186
-6.748,0.527,0.527,0.026,-0.048,1.237
-7.068,0.239,0.239,-0.081,0.106,1.322
-7.161,0.258,0.258,-0.166,0.221,1.371
-6.868,-0.001,-0.001,-0.261,0.328,1.424
-6.815,-0.282,-0.282,-0.349,0.420,1.537
-6.763,-0.844,-0.844,-0.436,0.499,1.620
-6.539,-1.344,-1.344,-0.492,0.510,1.658
-6.192,-1.819,-1.819,-0.609,0.560,1.641
-5.895,-2.472,-2.472,-0.694,0.590,1.676
-5.814,-2.817,-2.817,-0.709,0.569,1.696
-5.445,-2.920,-2.920,-0.759,0.629,1.681
-5.810,-3.298,-3.298,-0.808,0.639,1.673
-5.482,-3.087,-3.087,-0.858,0.590,1.646
-5.298,-3.372,-3.372,-0.965,0.644,1.604
-5.379,-3.596,-3.596,-0.915,0.552,1.557
-4.878,-3.505,-3.505,-0.844,0.451,1.592
-4.888,-3.590,-3.590,-0.763,0.397,1.706
-4.124,-4.020,-4.020,-0.764,0.281,1.613
-3.492,-4.329,-4.329,-0.695,0.223,1.670
-3.188,-4.956,-4.956,-0.534,0.220,1.668
-3.110,-4.740,-4.740,-0.336,0.215,1.702
-3.325,-5.128,-5.128,-0.198,0.436,1.746
-3.315,-5.030,-5.030,-0.028,0.403,1.601
-2.957,-4.962,-4.962,0.022,0.324,1.465

2.357,-0.390,-0.390,0.086,0.047,0.005
2.727,-0.494,-0.494,0.125,0.045,-0.016
3.095,-0.433,-0.433,0.170,0.049,-0.037
3.291,-0.241,-0.241,0.213,0.059,-0.049
3.470,0.045,0.045,0.268,0.068,-0.054
3.635,0.359,0.359,0.313,0.083,-0.068
3.811,0.605,0.605,0.344,0.095,-0.064
4.016,0.917,0.917,0.386,0.093,-0.047
4.119,1.175,1.175,0.385,0.049,-0.032
4.093,1.283,1.283,0.364,0.002,-0.007
4.799,1.520,1.520,0.281,-0.082,0.009
4.915,1.523,1.523,0.215,-0.139,0.051
5.187,1.563,1.563,0.190,-0.199,0.080
5.308,1.602,1.602,0.173,-0.294,0.113
5.601,1.795,1.795,0.126,-0.434,0.143
5.677,1.726,1.726,-0.006,-0.497,0.187
5.901,1.335,1.335,-0.127,-0.578,0.230
5.976,1.078,1.078,-0.163,-0.687,0.263
6.006,0.710,0.710,-0.171,-0.785,0.271
5.966,0.433,0.433,-0.183,-0.901,0.258
5.978,0.264,0.264,-0.065,-1.155,0.309
5.713,0.381,0.381,0.010,-1.204,0.269
5.589,0.364,0.364,0.087,-1.179,0.219
5.590,0.422,0.422,0.107,-1.213,0.167
5.464,0.761,0.761,0.092,-1.256,0.103
5.299,0.887,0.887,0.148,-1.369,0.150
5.085,0.968,0.968,0.222,-1.442,0.161
4.852,1.075,1.075,0.311,-1.480,0.170
4.534,1.424,1.424,0.418,-1.536,0.170
4.195,1.893,1.893,0.455,-1.578,0.199
3.848,2.193,2.193,0.428,-1.636,0.245
3.597,2.351,2.351,0.391,-1.678,0.284
3.263,2.478,2.478,0.331,-1.722,0.337
2.902,2.527,2.527,0.276,-1.764,0.383
2.595,2.598,2.598,0.246,-1.794,0.420
2.299,2.551,2.551,0.201,-1.834,0.484
1.854,2.659,2.659,0.166,-1.889,0.562
1.568,2.653,2.653,0.118,-1.895,0.597
1.326,2.558,2.558,0.030,-1.898,0.652
1.163,2.300,2.300,-0.033,-1.912,0.708
0.952,2.179,2.179,-0.053,-1.963,0.762
0.553,2.173,2.173,-0.110,-1.971,0.815
0.190,1.975,1.975,-0.135,-1.954,0.839
0.022,1.841,1.841,-0.160,-1.972,0.869
-0.133,1.659,1.659,-0.242,-2.002,0.901
-0.267,1.222,1.222,-0.330,-2.048,0.922
-0.233,0.813,0.813,-0.403,-2.125,0.929
-0.191,0.267,0.267,-0.496,-2.201,0.929
-0.290,-0.269,-0.269,-0.503,-2.238,0.915
-0.613,-0.423,-0.423,-0.460,-2.247,0.885
-0.896,-0.555,-0.555,-0.430,-2.230,0.809
-1.240,-0.563,-0.563,-0.407,-2.236,0.725
-1.440,-0.524,-0.524,-0.379,-2.257,0.661
-1.810,-0.288,-0.288,-0.316,-2.274,0.598
-2.187,0.070,0.070,-0.208,-2.310,0.562
-2.810,0.505,0.505,-0.128,-2.279,0.515
-3.026,0.898,0.898,-0.081,-2.244,0.492
-3.495,1.331,1.331,-0.024,-2.198,0.492
-3.829,1.802,1.802,0.033,-2.159,0.511
-3.996,2.071,2.071,0.077,-2.130,0.542
-4.315,2.414,2.414,0.121,-2.081,0.595
-4.581,2.680,2.680,0.144,-2.007,0.650
-4.748,2.908,2.908,0.156,-1.942,0.711
-5.056,3.206,3.206,0.147,-1.857,0.798
-5.298,3.368,3.368,0.116,-1.773,0.900
-5.422,3.497,3.497,0.073,-1.687,0.980
-5.604,3.371,3.371,-0.019,-1.557,1.099
-5.788,3.252,3.252,-0.136,-1.498,1.213
-6.010,3.098,3.098,-0.233,-1.451,1.303
-6.181,2.890,2.890,-0.359,-1.387,1.423
-6.399,2.490,2.490,-0.462,-1.332,1.543
-6.445,2.116,2.116,-0.532,-1.293,1.619
-6.696,1.610,1.610,-0.615,-1.241,1.696
-6.769,0.991,0.991,-0.683,-1.200,1.768
-6.798,0.502,0.502,-0.723,-1.165,1.788
-6.892,-0.086,-0.086,-0.722,-1.129,1.810
-6.951,-0.661,-0.661,-0.686,-1.098,1.810
-6.976,-1.136,-1.136,-0.631,-1.075,1.805
-6.968,-1.521,-1.521,-0.579,-1.059,1.801
-7.021,-1.956,-1.956,-0.485,-1.033,1.762
-7.073,-2.273,-2.273,-0.352,-1.004,1.713
-7.077,-2.397,-2.397,-0.249,-0.990,1.668
-7.137,-2.452,-2.452,-0.105,-0.958,1.603
-7.187,-2.440,-2.440,0.030,-0.899,1.540
-7.283,-2.298,-2.298,0.133,-0.835,1.495
-7.592,-2.083,-2.083,0.272,-0.736,1.438
-7.661,-1.642,-1.642,0.399,-0.649,1.382
-7.845,-1.562,-1.562,0.466,-0.575,1.375
-7.979,-1.123,-1.123,0.512,-0.500,1.283
-7.895,-1.025,-1.025,0.502,-0.437,1.302
-8.019,-1.099,-1.099,0.470,-0.404,1.315
-7.816,-1.058,-1.058,0.388,-0.343,1.344
-8.162,-0.938,-0.938,0.322,-0.277,1.386
-8.050,-1.126,-1.126,0.299,-0.260,1.436
-7.964,-1.155,-1.155,0.256,-0.219,1.519
-8.091,-1.123,-1.123,0.230,-0.173,1.590
-7.948,-1.175,-1.175,0.173,-0.072,1.622
-7.963,-1.133,-1.133,0.132,0.051,1.630
-8.324,-1.021,-1.021,0.087,0.209,1.625
-7.778,-1.231,-1.231,0.036,0.334,1.617
-6.975,-1.586,-1.586,0.014,0.378,1.615
-6.328,-2.010,-2.010,-0.062,0.454,1.621
-5.554,-2.711,-2.711,-0.131,0.349,1.643
-5.199,-2.952,-2.952,-0.190,0.212,1.710
-5.175,-3.419,-3.419,-0.203,0.040,1.777
-4.363,-3.871,-3.871,-0.201,-0.042,1.824
-4.477,-4.202,-4.202,-0.104,-0.044,1.858
-4.397,-4.404,-4.404,0.024,-0.076,1.839
-4.093,-4.274,-4.274,0.107,-0.043,1.804
-4.166,-4.433,-4.433,0.183,0.003,1.774
-3.825,-4.466,-4.466,0.218,-0.032,1.657
-4.715,-3.588,-3.588,0.215,-0.054,1.573
-4.795,-3.160,-3.160,0.197,0.066,1.546
-3.751,-3.533,-3.533,0.284,0.056,1.401
-3.427,-3.533,-3.533,0.293,-0.113,1.382
-3.546,-3.378,-3.378,0.272,-0.292,1.397
-3.367,-3.549,-3.549,0.284,-0.384,1.455
-3.277,-3.905,-3.905,0.348,-0.333,1.449
-3.122,-4.057,-4.057,0.407,-0.272,1.385
